Customers,Depot location,Instance,Beta,Drone capacity,Trucks,Drones,TB (s),Objective value,Relative difference with MILP objective value
10,Center,1,0.5,2,2,2,2.4,131,0.0%
10,Center,2,0.5,2,2,2,0.7,160,0.0%
10,Center,3,0.5,2,2,2,4.7,134,0.0%
10,Center,4,0.5,2,2,2,4.0,150,0.0%
10,Center,5,0.5,2,2,2,10.2,124,0.0%
10,Center,1,1.0,2,2,2,0.1,173,0.0%
10,Center,2,1.0,2,2,2,3.1,214,0.0%
10,Center,3,1.0,2,2,2,0.1,193,0.0%
10,Center,4,1.0,2,2,2,1.0,234,0.0%
10,Center,5,1.0,2,2,2,0.2,175,0.0%
10,Center,1,1.5,2,2,2,0.4,246,0.0%
10,Center,2,1.5,2,2,2,0.1,199,0.0%
10,Center,3,1.5,2,2,2,2.8,248,0.0%
10,Center,4,1.5,2,2,2,4.2,350,0.0%
10,Center,5,1.5,2,2,2,0.8,271,0.0%
10,Border,1,0.5,2,2,2,2.0,149,0.0%
10,Border,2,0.5,2,2,2,4.4,178,0.0%
10,Border,3,0.5,2,2,2,90.3,161,0.0%
10,Border,4,0.5,2,2,2,9.7,164,0.0%
10,Border,5,0.5,2,2,2,2.1,144,0.0%
10,Border,1,1.0,2,2,2,9.1,195,0.0%
10,Border,2,1.0,2,2,2,1.9,219,0.0%
10,Border,3,1.0,2,2,2,22.5,215,0.0%
10,Border,4,1.0,2,2,2,3.5,253,0.0%
10,Border,5,1.0,2,2,2,45.2,176,0.0%
10,Border,1,1.5,2,2,2,0.6,274,0.0%
10,Border,2,1.5,2,2,2,0.3,227,0.0%
10,Border,3,1.5,2,2,2,0.3,279,0.4%
10,Border,4,1.5,2,2,2,1.6,362,0.0%
10,Border,5,1.5,2,2,2,0.2,299,0.0%
10,Outside,1,0.5,2,2,2,2.8,192,0.0%
10,Outside,2,0.5,2,2,2,15.9,212,0.0%
10,Outside,3,0.5,2,2,2,7.5,196,0.0%
10,Outside,4,0.5,2,2,2,1.8,199,0.0%
10,Outside,5,0.5,2,2,2,2.1,181,0.0%
10,Outside,1,1.0,2,2,2,59.0,228,0.0%
10,Outside,2,1.0,2,2,2,3.9,249,0.0%
10,Outside,3,1.0,2,2,2,3.9,250,0.4%
10,Outside,4,1.0,2,2,2,1.3,290,0.0%
10,Outside,5,1.0,2,2,2,14.7,208,0.5%
10,Outside,1,1.5,2,2,2,0.4,303,0.0%
10,Outside,2,1.5,2,2,2,0.3,257,0.0%
10,Outside,3,1.5,2,2,2,1.8,308,0.0%
10,Outside,4,1.5,2,2,2,6.2,391,0.0%
10,Outside,5,1.5,2,2,2,0.3,328,0.0%
